Order_num,LPORT,DPORT,Units,RT,Weight,PORT_L,PORT_D,PORT,CPORT
1,L4,D1,47,0.9,1500,L1,D1,L1,L8
2,L4,D1,158,0.98,1500,L2,D2,L2,
3,L4,D1,162,1.04,1500,L3,D3,L3,
4,L4,D3,30,0.9,1500,L4,,L4,
5,L4,D3,52,0.98,1500,L5,,L5,
6,L4,D3,76,1.04,1500,L6,,L6,
7,L5,D1,1,1.38,1500,L7,,L7,
8,L5,D1,1,1.31,1500,L8,,L8,
9,L5,D1,28,1.31,1500,,,D1,
10,L5,D1,4,1.31,1500,,,D2,
11,L5,D1,64,1.31,1500,,,D3,
12,L5,D1,100,1.43,1500,,,,
13,L5,D1,1,1.57,1500,,,,
14,L5,D1,4,1.57,1500,,,,
15,L5,D1,1,1.51,1500,,,,
16,L5,D1,2,1.51,1500,,,,
17,L5,D1,1,1.59,1500,,,,
18,L5,D1,2,1.59,1500,,,,
19,L5,D1,5,1.48,1500,,,,
20,L5,D1,1,1.48,1500,,,,
21,L5,D1,8,1.67,1500,,,,
22,L5,D1,6,1.67,1500,,,,
23,L5,D1,6,2.47,1500,,,,
24,L5,D1,9,2.47,1500,,,,
25,L5,D1,1,1.22,1500,,,,
26,L5,D1,2,1.38,1500,,,,
27,L5,D1,2,1.3,1500,,,,
28,L5,D1,6,1.3,1500,,,,
29,L5,D1,8,1.38,1500,,,,
30,L5,D1,51,1.38,1500,,,,
31,L5,D1,2,1.32,1500,,,,
32,L5,D1,1,1.32,1500,,,,
33,L5,D1,1,1.36,1500,,,,
34,L5,D1,1,1.46,1500,,,,
35,L5,D1,2,1.46,1500,,,,
36,L5,D1,7,1.47,1500,,,,
37,L5,D1,6,1.48,1500,,,,
38,L5,D1,2,1.18,1500,,,,
39,L5,D1,1,1.18,1500,,,,
40,L5,D1,11,1.22,1500,,,,
41,L5,D1,2,1.32,1500,,,,
42,L5,D1,3,1.31,1500,,,,
43,L5,D1,9,1.3,1500,,,,
44,L5,D1,1,1.3,1500,,,,
45,L5,D1,37,1.38,1500,,,,
46,L5,D1,54,1.32,1500,,,,
47,L5,D1,12,1.32,1500,,,,
48,L5,D1,4,1.36,1500,,,,
49,L5,D1,2,1.47,1500,,,,
50,L5,D1,1,1.46,1500,,,,
51,L5,D1,2,1.46,1500,,,,
52,L5,D1,4,1.43,1500,,,,
53,L5,D1,22,1.47,1500,,,,
54,L5,D1,4,1.5,1500,,,,
55,L5,D1,1,1.38,1500,,,,
56,L5,D1,1,1.31,1500,,,,
57,L5,D1,6,1.31,1500,,,,
58,L5,D1,1,1.46,1500,,,,
59,L5,D1,4,1.67,1500,,,,
60,L5,D1,2,2.34,1500,,,,
61,L5,D2,12,1.38,1500,,,,
