Order_num,LPORT,DPORT,Units,RT,Weight,PORT_L,PORT_D,PORT,CPORT
1,L1,D3,47,0.9,1110,L1,D1,L1,L2
2,L1,D3,158,0.98,885,L2,D2,L2,
3,L1,D3,162,1.04,920,,D3,D1,
4,L1,D12,32,0.9,1110,,D4,D2,
5,L1,D12,30,0.9,1110,,D5,D3,
6,L1,D12,191,0.98,885,,D6,D4,
7,L1,D12,52,0.98,885,,D7,D5,
8,L1,D12,510,1.04,920,,D8,D6,
9,L1,D12,76,1.04,920,,D9,D7,
10,L2,D1,1,1.38,1600,,D10,D8,
11,L2,D1,1,1.31,1780,,D11,D9,
12,L2,D1,28,1.31,1840,,D12,D10,
13,L2,D1,4,1.31,1720,,D13,D11,
14,L2,D1,64,1.31,1840,,D14,D12,
15,L2,D1,100,1.43,1480,,,D13,
16,L2,D1,9,1.57,2450,,,D14,
17,L2,D1,1,1.57,2580,,,,
18,L2,D1,4,1.57,2620,,,,
19,L2,D1,1,1.51,2090,,,,
20,L2,D1,1,1.51,2150,,,,
21,L2,D1,2,1.51,2010,,,,
22,L2,D1,1,1.59,2610,,,,
23,L2,D1,2,1.59,2680,,,,
24,L2,D1,5,1.48,2280,,,,
25,L2,D1,1,1.48,2050,,,,
26,L2,D1,23,1.67,2110,,,,
27,L2,D1,8,1.67,1900,,,,
28,L2,D1,6,1.67,2030,,,,
29,L2,D1,40,1.67,2110,,,,
30,L2,D1,82,1.95,2470,,,,
31,L2,D1,85,1.95,2640,,,,
32,L2,D1,141,1.95,2470,,,,
33,L2,D1,203,1.95,2640,,,,
34,L2,D1,6,2.47,3600,,,,
35,L2,D1,9,2.47,3600,,,,
36,L2,D1,86,2.48,3600,,,,
37,L2,D2,6,1.18,1240,,,,
38,L2,D2,1,1.22,1410,,,,
39,L2,D2,96,1.31,1540,,,,
40,L2,D2,52,1.31,1600,,,,
41,L2,D2,2,1.38,1980,,,,
42,L2,D2,2,1.3,1370,,,,
43,L2,D2,6,1.3,1440,,,,
44,L2,D2,8,1.38,1600,,,,
