Order_num,LPORT,DPORT,Units,RT,Weight,PORT_L,PORT_D,PORT,CPORT
1,PORT A1,PORT B1,2,1.43,1480,PORT A1,PORT B1,PORT A1,PORT A2
2,PORT A1,PORT B1,1,1.57,2580,PORT A2,PORT B2,PORT A2,
3,PORT A1,PORT B1,4,1.57,2620,,PORT B3,PORT B1,
4,PORT A1,PORT B1,1,1.51,2150,,PORT B4,PORT B2,
5,PORT A1,PORT B1,2,1.51,2010,,PORT B5,PORT B3,
6,PORT A1,PORT B1,1,1.59,2610,,,PORT B4,
7,PORT A1,PORT B4,2,1.59,2680,,,PORT B5,
8,PORT A1,PORT B4,23,1.67,2110,,,,
9,PORT A1,PORT B4,8,1.67,1900,,,,
10,PORT A1,PORT B5,6,1.67,2030,,,,
11,PORT A1,PORT B5,400,1.67,2110,,,,
12,PORT A1,PORT B2,6,1.18,1240,,,,
13,PORT A1,PORT B2,1,1.22,1410,,,,
14,PORT A1,PORT B4,96,1.31,1540,,,,
15,PORT A1,PORT B4,52,1.31,1600,,,,
16,PORT A1,PORT B4,2,1.3,1370,,,,
17,PORT A1,PORT B2,6,1.3,1440,,,,
18,PORT A1,PORT B2,10,1.32,1500,,,,
19,PORT A1,PORT B2,2,1.32,1500,,,,
20,PORT A1,PORT B2,1,1.32,1530,,,,
21,PORT A1,PORT B3,2,1.22,1410,,,,
22,PORT A1,PORT B3,1,1.31,1540,,,,
23,PORT A1,PORT B3,5,1.31,1540,,,,
24,PORT A1,PORT B3,3,1.31,1600,,,,
25,PORT A1,PORT B3,4,1.31,1540,,,,
26,PORT A1,PORT B4,1,1.31,1600,,,,
27,PORT A1,PORT B4,1,1.31,1500,,,,
28,PORT A1,PORT B4,2,1.38,1600,,,,
29,PORT A1,PORT B4,15,1.38,1590,,,,
30,PORT A1,PORT B4,1,1.38,1650,,,,
31,PORT A1,PORT B4,7,1.38,1640,,,,
32,PORT A1,PORT B4,8,1.38,1450,,,,
33,PORT A1,PORT B4,1,1.38,1480,,,,
34,PORT A1,PORT B4,5,1.38,1590,,,,
35,PORT A1,PORT B4,1,1.38,1650,,,,
36,PORT A1,PORT B4,11,1.38,1640,,,,
37,PORT A1,PORT B4,14,1.38,1480,,,,
38,PORT A1,PORT B5,16,1.38,1650,,,,
39,PORT A1,PORT B5,20,1.38,1640,,,,
40,PORT A1,PORT B5,1,1.38,1600,,,,
41,PORT A1,PORT B3,2,1.38,1590,,,,
42,PORT A1,PORT B3,18,1.38,1650,,,,
43,PORT A1,PORT B3,12,1.38,1640,,,,
44,PORT A1,PORT B3,1,1.38,1650,,,,
45,PORT A1,PORT B3,3,1.38,1600,,,,
46,PORT A1,PORT B3,3,1.38,1590,,,,
47,PORT A1,PORT B3,12,1.38,1650,,,,
48,PORT A1,PORT B3,11,1.38,1640,,,,
49,PORT A1,PORT B3,38,1.38,1480,,,,
50,PORT A1,PORT B3,6,1.38,1570,,,,
51,PORT A1,PORT B3,1,1.38,1570,,,,
52,PORT A1,PORT B3,1,1.36,1720,,,,
53,PORT A1,PORT B3,1,1.36,1780,,,,
54,PORT A1,PORT B3,4,1.36,1780,,,,
55,PORT A1,PORT B3,2,1.36,1780,,,,
56,PORT A1,PORT B3,11,1.36,1780,,,,
57,PORT A1,PORT B3,5,1.36,1780,,,,
58,PORT A1,PORT B3,2,1.36,1780,,,,
59,PORT A1,PORT B3,1,1.36,1750,,,,
60,PORT A1,PORT B5,2,1.32,1500,,,,
61,PORT A1,PORT B5,9,1.32,1500,,,,
62,PORT A1,PORT B5,4,1.32,1500,,,,
63,PORT A1,PORT B5,2,1.32,1500,,,,
64,PORT A1,PORT B5,1,1.32,1530,,,,
65,PORT A1,PORT B5,2,1.32,1530,,,,
66,PORT A1,PORT B5,1,1.33,1620,,,,
67,PORT A1,PORT B5,2,1.46,2130,,,,
68,PORT A1,PORT B5,11,1.46,2130,,,,
69,PORT A1,PORT B5,6,1.46,2130,,,,
70,PORT A1,PORT B5,1,1.46,2130,,,,
71,PORT A1,PORT B5,1,1.46,2130,,,,
72,PORT A1,PORT B5,2,1.43,1590,,,,
73,PORT A1,PORT B3,7,1.43,1590,,,,
