Order_num,LPORT,DPORT,Units,RT,Height,totalRT,Weight,PORT_L,PORT_D,PORT,CPORT
1,PORT A1,PORT B1,2,1.43,180,2.86,1480,PORT A1,PORT B1,PORT A1,PORT A2
2,PORT A1,PORT B1,1,1.57,180,1.57,2580,PORT A2,PORT B2,PORT A2,
3,PORT A1,PORT B1,4,1.57,180,6.28,2620,,PORT B3,PORT B1,
4,PORT A1,PORT B2,52,1.31,180,68.12,1600,,,PORT B2,
5,PORT A1,PORT B2,2,1.3,200,2.6,1370,,,PORT B3,
6,PORT A1,PORT B2,6,1.3,200,7.8,1440,,,,
7,PORT A1,PORT B2,10,1.32,180,13.2,1500,,,,
8,PORT A1,PORT B2,2,1.32,220,2.64,1500,,,,
9,PORT A1,PORT B2,1,1.32,220,1.32,1530,,,,
10,PORT A1,PORT B3,1,1.38,200,1.38,1650,,,,
11,PORT A1,PORT B3,3,1.38,220,4.14,1600,,,,
12,PORT A1,PORT B3,3,1.38,200,4.14,1590,,,,
13,PORT A1,PORT B3,12,1.38,180,16.56,1650,,,,
14,PORT A1,PORT B3,11,1.36,200,14.96,1780,,,,
15,PORT A1,PORT B3,5,1.36,220,6.8,1780,,,,
16,PORT A1,PORT B3,2,1.36,220,2.72,1780,,,,
17,PORT A1,PORT B3,1,1.36,220,1.36,1750,,,,
18,PORT A1,PORT B3,2,1.32,220,2.64,1500,,,,
19,PORT A1,PORT B3,9,1.32,180,11.88,1500,,,,
20,PORT A1,PORT B3,4,1.32,200,5.28,1500,,,,
21,PORT A1,PORT B3,1,1.46,180,1.46,2130,,,,
22,PORT A1,PORT B3,2,1.43,220,2.86,1590,,,,
23,PORT A1,PORT B3,7,1.43,220,10.01,1590,,,,
24,PORT A1,PORT B3,6,1.43,180,8.58,1590,,,,
25,PORT A1,PORT B3,5,1.43,180,7.15,1590,,,,
26,PORT A1,PORT B3,6,1.43,180,8.58,1590,,,,
27,PORT A1,PORT B3,3,1.47,180,4.41,2100,,,,
28,PORT A1,PORT B3,7,1.47,200,10.29,2100,,,,
29,PORT A1,PORT B3,5,1.47,200,7.35,2100,,,,
30,PORT A1,PORT B3,4,1.48,200,5.92,1680,,,,
31,PORT A1,PORT B3,3,1.48,200,4.44,1680,,,,
32,PORT A2,PORT B1,9,1.57,220,14.13,2450,,,,
33,PORT A2,PORT B1,1,1.51,220,1.51,2090,,,,
34,PORT A2,PORT B1,9,2.47,200,22.23,3600,,,,
35,PORT A2,PORT B2,29,1.36,200,39.44,1780,,,,
36,PORT A2,PORT B2,49,1.36,200,66.64,1780,,,,
37,PORT A2,PORT B2,1,1.36,200,1.36,1730,,,,
38,PORT A2,PORT B2,1,1.46,180,1.46,1980,,,,
