Order_num,LPORT,DPORT,Units,RT,Weight,PORT_L,PORT_D,PORT,CPORT
1,NME,ALY,1,1.38,1600,NME,ALY,NME,OMZ
2,NME,ALY,1,1.31,1780,OMZ,LIV,OMZ,
3,NME,ALY,28,1.31,1840,,ZHZ,ALY,
4,NME,ALY,4,1.31,1720,,,LIV,
5,NME,ALY,64,1.31,1840,,,ZHZ,
6,NME,ALY,100,1.43,1480,,,,
7,NME,ALY,9,1.57,2450,,,,
8,NME,ALY,1,1.57,2580,,,,
9,NME,ALY,4,1.57,2620,,,,
10,NME,ALY,1,1.51,2090,,,,
11,NME,ALY,1,1.51,2150,,,,
12,NME,ALY,2,1.51,2010,,,,
13,NME,ALY,1,1.59,2610,,,,
14,NME,ALY,2,1.59,2680,,,,
15,NME,ALY,5,1.48,2280,,,,
16,NME,ALY,1,1.48,2050,,,,
17,NME,ALY,23,1.67,2110,,,,
18,NME,ALY,8,1.67,1900,,,,
19,NME,ALY,6,1.67,2030,,,,
20,NME,ALY,40,1.67,2110,,,,
21,NME,ALY,82,1.95,2470,,,,
22,NME,ALY,85,1.95,2640,,,,
23,NME,ALY,141,1.95,2470,,,,
24,NME,ALY,203,1.95,2640,,,,
25,NME,ALY,6,2.47,3600,,,,
26,NME,ALY,9,2.47,3600,,,,
27,NME,ALY,86,2.48,3600,,,,
28,NME,LIV,6,1.18,1240,,,,
29,NME,LIV,1,1.22,1410,,,,
30,NME,LIV,96,1.31,1540,,,,
31,NME,LIV,52,1.31,1600,,,,
32,NME,LIV,2,1.38,1980,,,,
33,NME,LIV,2,1.3,1370,,,,
34,NME,LIV,6,1.3,1440,,,,
35,NME,LIV,8,1.38,1600,,,,
36,NME,LIV,119,1.38,1590,,,,
37,NME,LIV,51,1.38,1650,,,,
38,NME,LIV,128,1.38,1640,,,,
39,NME,LIV,29,1.36,1780,,,,
40,NME,LIV,49,1.36,1780,,,,
41,NME,LIV,10,1.32,1500,,,,
42,NME,LIV,2,1.32,1500,,,,
43,NME,LIV,1,1.32,1530,,,,
44,NME,LIV,1,1.36,1730,,,,
45,NME,LIV,1,1.46,1980,,,,
46,NME,LIV,2,1.46,2130,,,,
47,NME,LIV,7,1.47,2100,,,,
48,NME,LIV,6,1.48,1680,,,,
49,NME,ZHZ,2,1.18,1240,,,,
50,NME,ZHZ,1,1.18,1260,,,,
51,NME,ZHZ,11,1.22,1410,,,,
52,NME,ZHZ,2,1.32,1990,,,,
53,NME,ZHZ,105,1.31,1540,,,,
54,NME,ZHZ,3,1.31,1600,,,,
55,NME,ZHZ,9,1.3,1370,,,,
56,NME,ZHZ,1,1.3,1440,,,,
57,NME,ZHZ,25,1.38,1610,,,,
58,NME,ZHZ,37,1.38,1590,,,,
59,NME,ZHZ,56,1.38,1660,,,,
60,NME,ZHZ,86,1.38,1640,,,,
61,NME,ZHZ,52,1.36,1780,,,,
62,NME,ZHZ,50,1.36,1780,,,,
63,NME,ZHZ,54,1.32,1500,,,,
64,NME,ZHZ,12,1.32,1530,,,,
65,NME,ZHZ,15,1.33,1620,,,,
66,NME,ZHZ,4,1.36,1730,,,,
67,NME,ZHZ,2,1.47,1980,,,,
68,NME,ZHZ,1,1.46,2130,,,,
69,NME,ZHZ,2,1.46,2130,,,,
70,NME,ZHZ,4,1.43,1590,,,,
71,NME,ZHZ,22,1.47,2100,,,,
72,NME,ZHZ,16,1.48,1680,,,,
73,NME,ZHZ,4,1.5,2190,,,,
74,NME,ZHZ,1,1.38,1620,,,,
75,NME,ZHZ,1,1.31,1760,,,,
76,NME,ZHZ,6,1.31,1830,,,,
77,NME,ZHZ,1,1.46,2150,,,,
78,NME,ZHZ,4,1.67,2030,,,,
