Order_num,LPORT,DPORT,Units,RT,Weight,PORT_L,PORT_D,PORT,CPORT
1,HIN,BCN,1,1.11,997.8,HIN,BCN,HIN,MNX
2,HIN,BCN,14,1.11,997.8,MNX,ANR,MNX,
3,HIN,BCN,3,1.11,997.8,,ZEE(A),BCN,
4,HIN,BCN,7,1.11,997.8,,,ANR,
5,HIN,BCN,2,1.11,997.8,,,ZEE(A),
6,HIN,BCN,1,1.2,1410,,,,
7,HIN,BCN,33,1.27,1400.6,,,,
8,HIN,BCN,1,1.27,1400.6,,,,
9,HIN,BCN,7,1.23,1850,,,,
10,HIN,BCN,19,1.23,1850,,,,
11,HIN,BCN,2,1.23,1850,,,,
12,HIN,BCN,19,1.37,1564.3,,,,
13,HIN,BCN,5,1.37,1564.3,,,,
14,HIN,BCN,5,1.37,1564.3,,,,
15,HIN,BCN,58,1.37,1564.3,,,,
16,HIN,ANR,1,1.11,997.8,,,,
17,HIN,ANR,1,1.11,997.8,,,,
18,HIN,ANR,3,1.11,997.8,,,,
19,HIN,ANR,8,1.11,997.8,,,,
20,HIN,ANR,12,1.11,997.8,,,,
21,HIN,ANR,3,1.11,997.8,,,,
22,HIN,ANR,15,1.11,997.8,,,,
23,HIN,ANR,14,1.11,997.8,,,,
24,HIN,ANR,24,1.11,997.8,,,,
25,HIN,ANR,1,1.11,997.8,,,,
26,HIN,ANR,3,1.11,997.8,,,,
27,HIN,ANR,17,1.11,997.8,,,,
28,HIN,ANR,1,1.11,997.8,,,,
29,HIN,ANR,11,1.11,997.8,,,,
30,HIN,ANR,4,1.11,997.8,,,,
31,HIN,ANR,3,1.47,1465,,,,
32,HIN,ANR,2,1.2,1410,,,,
33,HIN,ANR,20,1.27,1400.6,,,,
34,HIN,ANR,11,1.27,1400.6,,,,
35,HIN,ANR,1,1.27,1400.6,,,,
36,HIN,ANR,7,1.27,1400.6,,,,
37,HIN,ANR,78,1.27,1400.6,,,,
38,HIN,ANR,10,1.27,1400.6,,,,
39,HIN,ANR,65,1.27,1400.6,,,,
40,HIN,ANR,56,1.27,1400.6,,,,
41,HIN,ANR,5,1.27,1400.6,,,,
42,HIN,ANR,5,1.27,1400.6,,,,
43,HIN,ANR,2,1.27,1400.6,,,,
44,HIN,ANR,13,1.27,1400.6,,,,
45,HIN,ANR,10,1.27,1400.6,,,,
46,HIN,ANR,4,1.23,1850,,,,
47,HIN,ANR,1,1.23,1850,,,,
48,HIN,ANR,2,1.23,1850,,,,
49,HIN,ANR,3,1.23,1850,,,,
50,HIN,ANR,29,1.23,1850,,,,
51,HIN,ANR,79,1.23,1850,,,,
52,HIN,ANR,3,1.23,1850,,,,
53,HIN,ANR,8,1.23,1850,,,,
54,HIN,ANR,1,1.23,1850,,,,
55,HIN,ANR,2,1.23,1850,,,,
56,HIN,ANR,1,1.23,1850,,,,
57,HIN,ANR,3,1.23,1850,,,,
58,HIN,ANR,2,1.37,1564.3,,,,
59,HIN,ANR,7,1.37,1564.3,,,,
60,HIN,ANR,1,1.37,1564.3,,,,
61,HIN,ANR,33,1.37,1564.3,,,,
62,HIN,ANR,19,1.37,1564.3,,,,
63,HIN,ANR,7,1.37,1564.3,,,,
64,HIN,ANR,14,1.37,1564.3,,,,
65,HIN,ANR,1,1.37,1564.3,,,,
66,HIN,ANR,386,1.37,1564.3,,,,
67,HIN,ANR,18,1.37,1564.3,,,,
68,HIN,ANR,69,1.37,1564.3,,,,
69,HIN,ANR,138,1.37,1564.3,,,,
70,HIN,ANR,13,1.37,1564.3,,,,
71,HIN,ANR,17,1.37,1564.3,,,,
72,HIN,ANR,2,1.37,1564.3,,,,
73,HIN,ANR,6,1.37,1564.3,,,,
74,HIN,ZEE(A),32,1.27,1400.6,,,,
75,HIN,ZEE(A),13,1.27,1400.6,,,,
76,HIN,ZEE(A),13,1.23,1850,,,,
77,HIN,ZEE(A),11,1.37,1564.3,,,,
78,HIN,ZEE(A),1,1.11,997.8,,,,
79,HIN,ZEE(A),2,1.11,997.8,,,,
80,HIN,ZEE(A),4,1.11,997.8,,,,
81,HIN,ZEE(A),1,1.11,997.8,,,,
82,HIN,ZEE(A),1,1.11,997.8,,,,
83,HIN,ZEE(A),21,1.11,997.8,,,,
84,HIN,ZEE(A),68,1.11,997.8,,,,
85,HIN,ZEE(A),6,1.12,1000,,,,
86,HIN,ZEE(A),2,1.27,1400.6,,,,
87,HIN,ZEE(A),55,1.27,1400.6,,,,
88,HIN,ZEE(A),51,1.27,1400.6,,,,
89,HIN,ZEE(A),1,1.27,1400.6,,,,
90,HIN,ZEE(A),63,1.27,1400.6,,,,
91,HIN,ZEE(A),17,1.27,1400.6,,,,
92,HIN,ZEE(A),4,1.23,1850,,,,
93,HIN,ZEE(A),115,1.23,1850,,,,
94,HIN,ZEE(A),28,1.23,1850,,,,
95,HIN,ZEE(A),44,1.23,1850,,,,
96,HIN,ZEE(A),4,1.37,1564.3,,,,
97,HIN,ZEE(A),19,1.37,1564.3,,,,
98,HIN,ZEE(A),19,1.37,1564.3,,,,
99,HIN,ZEE(A),354,1.37,1564.3,,,,
100,MNX,BCN,168,1.32,1340,,,,
101,MNX,BCN,33,1.32,1340,,,,
102,MNX,BCN,4,1.32,1340,,,,
103,MNX,BCN,4,1.32,1340,,,,
104,MNX,BCN,1,1.38,1306,,,,
105,MNX,BCN,14,1.2,1410,,,,
106,MNX,ANR,4,1.32,1340,,,,
107,MNX,ANR,5,1.32,1340,,,,
108,MNX,ANR,201,1.32,1340,,,,
109,MNX,ANR,23,1.32,1340,,,,
110,MNX,ANR,53,1.32,1340,,,,
111,MNX,ANR,24,1.32,1340,,,,
112,MNX,ANR,10,1.32,1340,,,,
113,MNX,ANR,20,1.32,1340,,,,
114,MNX,ANR,5,1.32,1340,,,,
115,MNX,ANR,33,1.32,1340,,,,
116,MNX,ANR,1,1.32,1340,,,,
117,MNX,ANR,65,1.32,1340,,,,
118,MNX,ANR,66,1.32,1340,,,,
119,MNX,ANR,684,1.32,1340,,,,
120,MNX,ANR,183,1.32,1340,,,,
121,MNX,ANR,20,1.32,1340,,,,
122,MNX,ANR,3,1.32,1340,,,,
123,MNX,ANR,31,1.32,1340,,,,
124,MNX,ANR,30,1.32,1340,,,,
125,MNX,ANR,13,1.32,1340,,,,
126,MNX,ANR,1,1.32,1340,,,,
127,MNX,ANR,13,1.32,1340,,,,
128,MNX,ANR,8,1.32,1340,,,,
129,MNX,ANR,2,1.32,1340,,,,
130,MNX,ANR,16,1.32,1340,,,,
131,MNX,ANR,2,1.32,1340,,,,
132,MNX,ANR,7,1.32,1340,,,,
133,MNX,ANR,4,1.38,1306,,,,
134,MNX,ANR,19,1.38,1306,,,,
135,MNX,ANR,21,1.38,1306,,,,
136,MNX,ANR,4,1.38,1306,,,,
137,MNX,ANR,13,1.38,1306,,,,
138,MNX,ANR,8,1.38,1306,,,,
139,MNX,ANR,7,1.38,1306,,,,
140,MNX,ANR,6,1.38,1306,,,,
141,MNX,ANR,5,1.38,1306,,,,
142,MNX,ANR,2,1.38,1306,,,,
143,MNX,ANR,1,1.38,1306,,,,
144,MNX,ANR,5,1.38,1306,,,,
145,MNX,ANR,9,1.38,1306,,,,
146,MNX,ANR,42,1.38,1306,,,,
147,MNX,ANR,10,1.38,1306,,,,
148,MNX,ANR,1,1.38,1306,,,,
149,MNX,ANR,16,1.38,1306,,,,
150,MNX,ANR,47,1.38,1306,,,,
151,MNX,ANR,2,1.38,1306,,,,
152,MNX,ANR,1,1.38,1306,,,,
153,MNX,ANR,20,1.38,1306,,,,
154,MNX,ANR,4,1.38,1306,,,,
155,MNX,ANR,9,1.38,1306,,,,
156,MNX,ANR,2,1.38,1306,,,,
157,MNX,ANR,1,1.38,1306,,,,
158,MNX,ANR,2,1.45,1495,,,,
159,MNX,ANR,2,1.45,1495,,,,
160,MNX,ANR,2,1.45,1495,,,,
161,MNX,ANR,11,1.45,1495,,,,
162,MNX,ANR,5,1.45,1495,,,,
163,MNX,ANR,4,1.45,1495,,,,
164,MNX,ANR,1,1.45,1495,,,,
165,MNX,ANR,1,1.47,1465,,,,
166,MNX,ANR,1,1.47,1465,,,,
167,MNX,ANR,1,1.47,1465,,,,
168,MNX,ANR,3,1.47,1465,,,,
169,MNX,ANR,3,1.47,1465,,,,
170,MNX,ANR,2,1.47,1465,,,,
171,MNX,ANR,5,1.47,1465,,,,
172,MNX,ANR,1,1.47,1465,,,,
173,MNX,ANR,1,1.47,1465,,,,
174,MNX,ANR,7,1.2,1410,,,,
175,MNX,ANR,3,1.2,1410,,,,
176,MNX,ANR,6,1.2,1410,,,,
177,MNX,ANR,343,1.2,1410,,,,
178,MNX,ANR,1,1.2,1410,,,,
179,MNX,ANR,38,1.2,1410,,,,
180,MNX,ANR,3,1.2,1410,,,,
181,MNX,ANR,2,1.2,1410,,,,
182,MNX,ANR,1,1.2,1410,,,,
183,MNX,ANR,2,1.2,1410,,,,
184,MNX,ZEE(A),27,1.32,1340,,,,
185,MNX,ZEE(A),13,1.32,1340,,,,
186,MNX,ZEE(A),21,1.38,1306,,,,
187,MNX,ZEE(A),9,1.38,1306,,,,
188,MNX,ZEE(A),2,1.45,1495,,,,
189,MNX,ZEE(A),1,1.47,1465,,,,
190,MNX,ZEE(A),10,1.2,1410,,,,
191,MNX,ZEE(A),4,1.32,1340,,,,
192,MNX,ZEE(A),1,1.32,1340,,,,
193,MNX,ZEE(A),7,1.32,1340,,,,
194,MNX,ZEE(A),5,1.32,1340,,,,
195,MNX,ZEE(A),526,1.32,1340,,,,
196,MNX,ZEE(A),28,1.32,1340,,,,
197,MNX,ZEE(A),12,1.38,1306,,,,
198,MNX,ZEE(A),2,1.38,1306,,,,
199,MNX,ZEE(A),1,1.38,1306,,,,
