Hold0,Hold1,Hold2,Hold3,Hold4,Hold5,Hold6,Hold7,Hold8,Hold9,Hold10,Hold11,Hold12
12,0.95,0.85,0.95,0.85,0.83,,,,,,,
13,0.95,0.85,0.95,0.85,0.83,0.8,,,,,,
21,0.95,0.85,0.95,0.75,,,,,,,,
22,0.95,0.85,0.95,,,,,,,,,
23,0.95,0.85,0.95,0.75,,,,,,,,
31,0.95,0.85,0.75,,,,,,,,,
32,0.95,0.85,,,,,,,,,,
33,0.95,,,,,,,,,,,
41,0.95,0.75,0.75,,,,,,,,,
42,0.95,0.75,,,,,,,,,,
43,0.95,,,,,,,,,,,
51,0.95,0.75,0.75,,,,,,,,,
52,0.95,0.65,,,,,,,,,,
53,0.95,,,,,,,,,,,
54,,,,,,,,,,,,
61,0.95,0.65,,,,,,,,,,
62,0.95,0.65,0.75,,,,,,,,,
63,0.95,0.65,0.75,0.75,,,,,,,,
64,0.95,0.65,0.75,0.75,0.75,,,,,,,
71,0.95,0.65,,,,,,,,,,
72,0.95,0.65,0.75,,,,,,,,,
73,0.95,0.65,0.75,0.75,,,,,,,,
74,0.95,0.65,0.75,0.75,0.75,,,,,,,
81,0.95,0.65,0.75,0.95,0.83,,,,,,,
82,0.95,0.65,0.75,0.95,0.83,,,,,,,
83,0.95,0.65,0.75,0.95,,,,,,,,
84,0.95,0.65,0.75,0.95,0.75,,,,,,,
91,0.95,0.65,0.75,0.8,0.75,0.83,,,,,,
92,0.95,0.65,0.75,0.8,0.8,,,,,,,
93,0.95,0.65,0.75,0.8,0.95,,,,,,,
94,0.95,0.65,0.75,0.8,0.95,0.75,,,,,,
101,0.95,0.65,0.75,0.8,0.95,0.85,0.75,0.85,0.75,,,
102,0.95,0.65,0.75,0.8,0.95,0.85,0.75,0.85,,,,
103,0.95,0.65,0.75,0.8,0.95,0.85,0.85,,,,,
104,0.95,0.65,0.75,0.8,0.95,0.85,0.85,,,,,
111,0.95,0.65,0.75,0.8,0.95,0.85,0.75,0.85,0.85,0.75,,
112,0.95,0.65,0.75,0.8,0.95,0.85,0.75,0.85,0.85,,,
113,0.95,0.65,0.75,0.8,0.95,0.85,0.75,0.85,,,,
114,0.95,0.65,0.75,0.8,0.95,0.85,0.75,0.85,0.75,,,
121,0.95,0.65,0.75,0.8,0.95,0.85,0.75,0.85,0.85,0.95,0.75,
122,0.95,0.65,0.75,0.8,0.95,0.85,0.75,0.85,0.85,0.95,,
123,0.95,0.65,0.75,0.8,0.95,0.85,0.75,0.85,0.85,0.95,0.75,
124,0.95,0.65,0.75,0.8,0.95,0.85,0.75,0.85,0.85,0.95,0.75,0.75
