Hold,Resourse,RT_benefit,Weight_s,Weight_h1,Weight_h2,Min_s,Max_s,Max_h,Pair_Hold1,Pair_Hold2,Next_Hold1,Next_Hold2,Same_Hold1,Same_Hold2,Lamp_Hold,Region1,Region2,Region3,Region4,Region5,Region6,Region7,Region8,Region9,Region10,Region11
12,143,0,1,-8,7,-1514155,2135156,37949940,12,13,12,13,21,23,12,12,31,41,51,61,71,81,91,101,111,121
13,128,0,-1,-8,7,,,,12,22,21,22,31,33,22,13,32,42,52,62,72,82,92,102,112,122
21,21,0,3,-6.1,7,,,,21,22,22,23,41,43,32,21,33,43,53,63,73,83,93,103,113,123
22,158,0,1,-6.1,7,,,,22,23,31,32,51,53,33,22,,,54,64,74,84,94,104,114,124
23,190,0,-1,-6.1,7,,,,22,32,32,33,51,54,43,23,,,,,,,,,,
31,30,0,3,-4.2,7,,,,31,32,41,42,52,54,53,,,,,,,,,,,
32,197,0,1,-4.2,7,,,,32,33,42,43,61,63,54,,,,,,,,,,,
33,197,0,-1,-4.2,7,,,,33,54,51,52,61,64,61,,,,,,,,,,,
41,44,0,3,-2.1,7,,,,41,42,52,53,62,64,71,,,,,,,,,,,
42,223,0,1,-2.1,7,,,,42,43,53,54,71,73,82,,,,,,,,,,,
43,167,0,-1,-2.1,7,,,,43,54,61,62,71,74,92,,,,,,,,,,,
51,86,3,3,0,1,,,,51,52,62,63,72,74,93,,,,,,,,,,,
52,192,5,1,0,1,,,,52,53,63,64,81,83,103,,,,,,,,,,,
53,186,10,-1,0,1,,,,53,61,71,72,81,84,113,,,,,,,,,,,
54,158,10,-3,0,1,,,,53,71,72,73,82,84,122,,,,,,,,,,,
61,115,0,3,3.5,1,,,,53,54,73,74,91,93,,,,,,,,,,,,
62,221,0,1,3.5,1,,,,61,62,81,82,91,94,,,,,,,,,,,,
63,193,0,-1,3.5,1,,,,62,63,82,83,92,94,,,,,,,,,,,,
64,157,0,-3,3.5,1,,,,63,64,83,84,101,103,,,,,,,,,,,,
71,113,0,3,5.9,1,,,,71,72,91,92,101,104,,,,,,,,,,,,
72,136,0,1,5.9,1,,,,71,82,92,93,102,104,,,,,,,,,,,,
73,203,0,-1,5.9,1,,,,72,73,93,94,111,113,,,,,,,,,,,,
74,131,0,-3,5.9,1,,,,73,74,101,102,111,114,,,,,,,,,,,,
81,200,0,3,8.3,1,,,,81,82,102,103,112,114,,,,,,,,,,,,
82,215,0,1,8.3,1,,,,82,83,103,104,121,123,,,,,,,,,,,,
83,206,0,-1,8.3,1,,,,82,92,111,112,121,124,,,,,,,,,,,,
84,184,0,-3,8.3,1,,,,83,84,112,113,122,124,,,,,,,,,,,,
91,212,0,3,10.7,1,,,,91,92,113,114,,,,,,,,,,,,,,
92,252,0,1,10.7,1,,,,92,93,121,122,,,,,,,,,,,,,,
93,170,0,-1,10.7,1,,,,93,94,122,123,,,,,,,,,,,,,,
94,187,0,-3,10.7,1,,,,93,103,123,124,,,,,,,,,,,,,,
101,209,0,3,13.1,1,,,,101,102,,,,,,,,,,,,,,,,
102,246,0,1,13.1,1,,,,102,103,,,,,,,,,,,,,,,,
103,180,0,-1,13.1,1,,,,103,104,,,,,,,,,,,,,,,,
104,188,0,-3,13.1,1,,,,103,113,,,,,,,,,,,,,,,,
111,216,0,3,15.2,1,,,,111,112,,,,,,,,,,,,,,,,
112,236,0,1,15.2,1,,,,112,113,,,,,,,,,,,,,,,,
113,192,0,-1,15.2,1,,,,112,122,,,,,,,,,,,,,,,,
114,180,0,-3,15.2,1,,,,113,114,,,,,,,,,,,,,,,,
121,206,0,3,17.3,1,,,,121,122,,,,,,,,,,,,,,,,
122,246,0,1,17.3,1,,,,122,123,,,,,,,,,,,,,,,,
123,206,0,-1,17.3,1,,,,123,124,,,,,,,,,,,,,,,,
124,180,0,-3,17.3,1,,,,,,,,,,,,,,,,,,,,,
