Hold0,Hold1,Hold2,Hold3,Hold4,Hold5,Hold6,Hold7,Hold8,Hold9,Hold10,Hold11,Hold12
12,54,33,32,22,23,,,,,,,
13,54,33,32,22,23,12,,,,,,
21,54,33,32,22,,,,,,,,
22,54,33,32,,,,,,,,,
23,54,33,32,22,,,,,,,,
31,54,33,32,,,,,,,,,
32,54,33,,,,,,,,,,
33,54,,,,,,,,,,,
41,54,43,42,,,,,,,,,
42,54,43,,,,,,,,,,
43,54,,,,,,,,,,,
51,54,53,52,,,,,,,,,
52,54,53,,,,,,,,,,
53,54,,,,,,,,,,,
54,,,,,,,,,,,,
61,54,53,,,,,,,,,,
62,54,53,61,,,,,,,,,
63,54,53,61,62,,,,,,,,
64,54,53,61,62,63,,,,,,,
71,54,53,,,,,,,,,,
72,54,53,71,,,,,,,,,
73,54,53,71,72,,,,,,,,
74,54,53,71,72,73,,,,,,,
81,54,53,71,82,83,,,,,,,
82,54,53,71,82,83,,,,,,,
83,54,53,71,82,,,,,,,,
84,54,53,71,82,83,,,,,,,
91,54,53,71,82,92,93,,,,,,
92,54,53,71,82,93,,,,,,,
93,54,53,71,82,92,,,,,,,
94,54,53,71,82,92,93,,,,,,
101,54,53,71,82,92,93,103,104,102,,,
102,54,53,71,82,92,93,103,104,,,,
103,54,53,71,82,92,93,104,,,,,
104,54,53,71,82,92,93,103,,,,,
111,54,53,71,82,92,93,103,104,113,112,,
112,54,53,71,82,92,93,103,104,113,,,
113,54,53,71,82,92,93,103,104,,,,
114,54,53,71,82,92,93,103,104,113,,,
121,54,53,71,82,92,93,103,104,113,112,122,
122,54,53,71,82,92,93,103,104,113,112,,
123,54,53,71,82,92,93,103,104,113,112,122,
124,54,53,71,82,92,93,103,104,113,112,122,123
