Hold0,Hold1,Hold2,Hold3,Hold4,Hold5,Hold6,Hold7,Hold8,Hold9,Hold10,Hold11,Hold12
12,0.9,0.8,0.5,0.5,0.83,,,,,,,
13,0.9,0.8,0.5,0.5,0.83,0.5,,,,,,
21,0.9,0.8,0.5,0.5,,,,,,,,
22,0.9,0.8,0.5,,,,,,,,,
23,0.9,0.8,0.5,0.5,,,,,,,,
31,0.9,0.8,0.5,,,,,,,,,
32,0.9,0.8,,,,,,,,,,
33,0.9,,,,,,,,,,,
41,0.9,0.8,0.75,,,,,,,,,
42,0.9,0.8,,,,,,,,,,
43,0.9,,,,,,,,,,,
51,0.9,0.75,0.75,,,,,,,,,
52,0.9,0.75,,,,,,,,,,
53,0.9,,,,,,,,,,,
54,,,,,,,,,,,,
61,0.9,0.65,,,,,,,,,,
62,0.9,0.65,0.5,,,,,,,,,
63,0.9,0.65,0.5,0.75,,,,,,,,
64,0.9,0.65,0.5,0.75,0.75,,,,,,,
71,0.9,0.65,,,,,,,,,,
72,0.9,0.65,0.4,,,,,,,,,
73,0.9,0.65,0.4,0.75,,,,,,,,
74,0.9,0.65,0.4,0.75,0.75,,,,,,,
81,0.9,0.65,0.4,0.8,0.75,,,,,,,
82,0.9,0.65,0.4,0.8,0.75,,,,,,,
83,0.9,0.65,0.4,0.8,,,,,,,,
84,0.9,0.65,0.4,0.8,0.75,,,,,,,
91,0.9,0.65,0.4,0.8,0.75,0.7,,,,,,
92,0.9,0.65,0.4,0.8,0.7,,,,,,,
93,0.9,0.65,0.4,0.8,0.8,,,,,,,
94,0.9,0.65,0.4,0.8,0.8,0.7,,,,,,
101,0.9,0.65,0.4,0.8,0.8,0.7,0.7,0.85,0.75,,,
102,0.9,0.65,0.4,0.8,0.8,0.7,0.7,0.85,,,,
103,0.9,0.65,0.4,0.8,0.8,0.7,0.85,,,,,
104,0.9,0.65,0.4,0.8,0.8,0.7,0.7,,,,,
111,0.9,0.65,0.4,0.8,0.8,0.7,0.7,0.85,0.85,0.7,,
112,0.9,0.65,0.4,0.8,0.8,0.7,0.7,0.85,0.85,,,
113,0.9,0.65,0.4,0.8,0.8,0.7,0.7,0.85,,,,
114,0.9,0.65,0.4,0.8,0.8,0.7,0.7,0.85,0.85,,,
121,0.9,0.65,0.4,0.8,0.8,0.7,0.7,0.85,0.85,0.7,0.5,
122,0.9,0.65,0.4,0.8,0.8,0.7,0.7,0.85,0.85,0.7,,
123,0.9,0.65,0.4,0.8,0.8,0.7,0.7,0.85,0.85,0.7,0.5,
124,0.9,0.65,0.4,0.8,0.8,0.7,0.7,0.85,0.85,0.7,0.5,0.75
